school.name,2015.student.size,location.lat,location.lon,school.state
University of North Carolina at Chapel Hill,17951,35.912165,-79.050969,NC
SUNY at Binghamton,13465,42.088049,-75.971143,NY
SUNY Cortland,6276,42.590158,-76.197909,NY
SUNY College at Geneseo,5548,42.796864,-77.821999,NY
Central Piedmont Community College,17922,35.217774,-80.829796,NC
Gaston College,5199,35.312015,-81.189481,NC
Duke University,6501,36.00159,-78.94226,NC
University of Oklahoma-Norman Campus,20689,35.208152,-97.445692,OK
University of Central Oklahoma,14270,35.658239,-97.470985,OK
Wright State University-Main Campus,12040,39.780634,-84.064881,OH
Rose State College,5843,35.444315,-97.413925,OK
Portland Community College,26259,45.438722,-122.731447,OR
Community College of Allegheny County,15540,40.450632,-80.01855,PA
Portland State University,19648,45.511229,-122.683553,OR
Drexel University,16227,39.954855,-75.188745,PA
California University of Pennsylvania,5715,40.066473,-79.884477,PA
Edinboro University of Pennsylvania,5141,41.869978,-80.126363,PA
East Stroudsburg University of Pennsylvania,6105,40.99622,-75.172614,PA
Pennsylvania State University-Main Campus,40179,40.800732,-77.861644,PA
Northampton County Area Community College,9730,40.67253,-75.32351,PA
Luzerne County Community College,5227,41.193154,-75.993218,PA
Lehigh University,5054,40.607158,-75.378887,PA
Community College of Philadelphia,17944,39.962375,-75.166065,PA
The University of Tennessee-Chattanooga,9976,35.048247,-85.299812,TN
Temple University,27983,39.980943,-75.158267,PA
The University of Tennessee-Knoxville,21661,35.955093,-83.929696,TN
Austin Peay State University,8915,36.533319,-87.354081,TN
Northeast State Community College,5339,36.48558,-82.408626,TN
Belmont University,5933,36.133866,-86.794715,TN
Texas A & M University-Commerce,7857,33.243814,-95.906913,TX
El Paso Community College,27583,31.77234,-106.371671,TX
Brookhaven College,8835,32.928237,-96.85016,TX
Vanderbilt University,6857,36.14443,-86.804875,TN
Horry-Georgetown Technical College,6354,33.79614,-79.003611,SC
South Dakota State University,9825,44.31942,-96.783415,SD
University of South Carolina-Upstate,5094,34.996403,-81.970583,SC
Saint Joseph's University,5248,39.994442,-75.238343,PA
University of Houston-Clear Lake,5403,29.582523,-95.098129,TX
Lamar University,9008,30.044274,-94.073389,TX
University of Houston-Downtown,13101,29.763831,-95.35953,TX
University of North Texas,30533,33.210958,-97.151211,TX
Utah Valley University,25751,40.278512,-111.717058,UT
Salt Lake Community College,22561,40.671575,-111.942809,UT
Texas Southern University,6696,29.722468,-95.361961,TX
Southern Utah University,5977,37.674617,-113.070146,UT
University of Vermont,10081,44.479262,-73.198128,VT
Stephen F Austin State University,10562,31.58562,-94.58546,TX
Texas A & M University-College Station,48707,30.613226,-96.340322,TX
San Antonio College,17004,29.446415,-98.494234,TX
Navarro College,9592,32.076066,-96.498738,TX
The University of Texas at Dallas,15559,32.989432,-96.748371,TX
Temple College,5518,31.070607,-97.351031,TX
Laredo Community College,7792,27.506477,-99.520772,TX
Midwestern State University,5287,33.877143,-98.51774,TX
Mountain View College,6849,32.726573,-96.903798,TX
Lee College,6027,29.731654,-94.976724,TX
George Mason University,22308,38.83088,-77.30794,VA
John Tyler Community College,6214,37.346261,-77.407937,VA
James Madison University,19019,38.435332,-78.871663,VA
Liberty University,49542,37.350345,-79.179688,VA
Old Dominion University,19870,36.884919,-76.309653,VA
Radford University,8839,37.136914,-80.549731,VA
